rowid,fpl_orbper,fpl_smax,fpl_bmasse,fpl_rade,fpl_dens,fpl_tranflag,fpl_cbflag,fpl_snum,dec,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age,cos_simil,weighted_simil,cluster
114,21.169860999999997,0.131,4.58,1.98,3.24,1,0,1,17.640005,4148.21,4.354839473684218,-1.113,0.66,0.57,0.14,0,0.79,0.9784308627764836,0.9582394539710878,0
115,19.49221,0.1493,27.0,5.76,0.65,1,0,1,19.402252,6069.0,4.22,0.369,1.17,1.39,0.1,0,3.99,0.9852968163237381,0.9769084409309008,0
116,2.28943,6.1761086775078455,2.31,1.3230000000000002,5.48,1,0,1,-17.609904999999994,4987.49,4.354839473684218,-0.505,0.83,0.75,0.011107881644409444,0,4.236718483690839,0.9853971698870125,0.9827910436455041,0
117,18.0983,6.1761086775078455,5.35,2.17,2.88,1,0,1,-14.359463,5782.33,4.354839473684218,0.179,1.11,1.22,0.011107881644409444,0,4.236718483690839,0.9847495578519431,0.9794145079807277,0
118,34.885,6.1761086775078455,3.19,1.6,4.28,1,0,1,-12.734723,4982.79,4.354839473684218,-0.4970000000000001,0.91,0.76,0.011107881644409444,0,4.236718483690839,0.9871941629101886,0.9844878636275658,0
119,15.2841,6.1761086775078455,1.46,1.12,5.71,1,0,1,-10.862432,5864.75,4.354839473684218,0.006,0.95,0.98,0.011107881644409444,0,4.236718483690839,0.9864572985584507,0.9813681279465719,0
120,13.603,0.098,7.2,2.5860000000000003,2.29,1,0,1,-7.318144,4684.0,4.62,-0.804,0.69,0.67,-0.13699999999999998,0,4.236718483690839,0.9922742090107256,0.9911433590677774,0
121,65.55,0.28,7.7,2.69,2.17,1,0,1,-7.318144,4684.0,4.62,-0.804,0.69,0.67,-0.13699999999999998,0,4.236718483690839,0.9922619489220459,0.9911207559889805,0
122,0.70531,6.1761086775078455,2.79,1.48,4.73,1,0,1,7.995316000000001,5523.0,4.47,-0.215,0.94,0.94,0.15,0,4.236718483690839,0.9897566290056182,0.9848917669881695,0
123,0.571331,0.0134,7.72,1.82,8.5,1,0,1,10.794699,5617.0,4.45,-0.11,0.97,0.98,0.13,0,5.0,0.9897856119354416,0.9837691792984959,0
124,13.339079000000002,0.1091,5.8,2.73,2.0,1,0,1,10.794699,5617.0,4.45,-0.11,0.97,0.98,0.13,0,5.0,0.9897147399732378,0.9836452345975032,0
125,6.180235,0.07229,953.49,11.781,3.1,1,0,2,16.278742,6202.0,4.16,0.526,1.32,1.59,0.141,0,3.02,0.9596311698997495,0.9132719783747861,0
126,3650.0,4.5,4131.79,12.442,4.3812565360303335,1,0,1,11.842731,4898.0,3.52,0.5479999999999999,0.9,2.7,-0.23,0,4.236718483690839,0.9638514791098668,0.9495226407817771,0
127,2319.5392238828044,800.0,5085.28,12.2,15.4,0,0,1,25.049898,2838.0,4.354839473684218,-0.6990000000000001,0.05,1.5409463240905692,0.011107881644409444,0,0.001,0.772206708488887,0.8599054812892778,1
128,555530.0,160.0,826.3,13.5,1.85,0,0,1,-29.622236,8399.0,4.14,1.217,1.92,1.92,0.011107881644409444,0,0.2,0.7623842427084695,0.8391314927362543,1
129,1.628931,0.0153,1.66,1.16,6.3,1,0,1,-47.156727,3270.0,4.88,-2.359,0.18,0.21,-0.12,0,5.0,0.9657470801851026,0.9626813692813473,0
130,8.929,0.0476,2.64,1.43,4.96,0,0,1,-47.156727,3270.0,4.88,-2.359,0.18,0.21,-0.12,0,5.0,0.7938612451820731,0.9079530194991409,1
131,41.38,0.166,96.7,11.9,0.315,0,0,1,42.751972,3264.0,4.354839473684218,-1.699,0.35,0.4,0.011107881644409444,0,4.236718483690839,0.8060808117515648,0.9184626738879896,1
132,532.58,0.912,68.06,9.71,0.409,0,0,1,42.751972,3264.0,4.354839473684218,-1.699,0.35,0.4,0.011107881644409444,0,4.236718483690839,0.8077827446964732,0.9210896232802057,1
133,1.58040456,0.01411,6.26125,2.847,1.49,1,0,1,4.96392,3026.0,4.94,-2.312,0.15,0.22,0.39,0,3.0,0.9755537924166716,0.9684075140729853,0
134,3.6511,0.026000000000000002,7.4,2.63,2.24,0,0,1,-17.685771,3236.0,5.09,-2.439,0.18,0.19,-0.04,0,4.236718483690839,0.8129528544957056,0.9272333878491867,1
135,35.61253,0.1915,22.7,2.61,7.0,1,0,1,-63.4991,4640.0,4.61,-0.6859999999999999,0.73,0.69,0.003,0,3.8,0.9545801529507826,0.9522645474929028,0
136,8.63182,0.0607,10.6,3.25,1.7,0,0,1,-53.373699,3500.0,4.354839473684218,-1.7080000000000002,0.4,0.43,0.1,0,6.0,0.7774138346192953,0.8886449457518073,1
